begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2015-06-29,125.460000,126.440000,126.940000,124.480000,150981872,reg,False,AAPL
2015-07-06,124.940000,123.280000,126.230000,119.220000,275718368,reg,False,AAPL
2015-07-13,125.030000,129.620000,129.620000,124.320000,189245034,reg,False,AAPL
2015-07-20,130.970000,124.500000,132.970000,121.990000,344269021,reg,False,AAPL
2015-07-27,123.090000,121.300000,123.910000,120.910000,191598511,reg,False,AAPL
2015-08-03,121.500000,115.520000,122.570000,112.100000,385000649,reg,False,AAPL
2015-08-10,116.530000,115.960000,119.990000,109.630000,345185326,reg,False,AAPL
2015-08-17,116.040000,105.760000,117.650000,105.645000,320509056,reg,False,AAPL
2015-08-24,94.870000,113.290000,113.310000,92.000000,500362965,reg,False,AAPL
2015-08-31,112.030000,109.270000,114.530000,107.360000,298194194,reg,False,AAPL
2015-09-07,111.650000,114.210000,114.210000,109.770000,252662734,reg,False,AAPL
2015-09-14,116.580000,113.450000,116.890000,111.870000,277276007,reg,False,AAPL
2015-09-21,113.670000,114.710000,116.690000,112.370000,242696241,reg,False,AAPL
2015-09-28,113.850000,110.380000,114.570000,107.310000,313896286,reg,False,AAPL
2015-10-05,109.880000,112.120000,112.280000,108.210000,262432987,reg,False,AAPL
2015-10-12,112.730000,111.040000,112.750000,109.560000,184884970,reg,False,AAPL
2015-10-19,110.800000,119.080000,119.228000,110.110000,222074893,reg,False,AAPL
2015-10-26,118.080000,119.500000,121.220000,113.990000,322362121,reg,False,AAPL
2015-11-02,119.870000,121.060000,123.820000,119.610000,195203256,reg,False,AAPL
2015-11-09,120.960000,112.340000,121.810000,112.270000,216555289,reg,False,AAPL
2015-11-16,111.380000,119.300000,119.920000,111.000000,189981253,reg,False,AAPL
2015-11-23,119.270000,117.810000,119.730000,117.120000,109720453,reg,False,AAPL
2015-11-30,117.990000,119.030000,119.410000,114.220000,206765745,reg,False,AAPL
2015-12-07,118.980000,113.180000,119.860000,112.851000,188853944,reg,False,AAPL
2015-12-14,112.180000,106.030000,112.800000,105.810000,315791335,reg,False,AAPL
2015-12-21,107.280000,108.030000,109.000000,105.570000,126634011,reg,False,AAPL
2015-12-28,107.590000,105.260000,109.430000,104.820000,123761546,reg,False,AAPL
2016-01-04,102.610000,96.960000,105.850000,96.430000,343790211,reg,False,AAPL
2016-01-11,98.970000,97.130000,101.190000,95.360000,304337253,reg,False,AAPL
2016-01-18,98.410000,101.420000,101.460000,93.420000,243384093,reg,False,AAPL
2016-01-25,101.520000,97.340000,101.530000,92.390000,380336530,reg,False,AAPL
2016-02-01,96.510000,94.020000,97.330000,93.690000,217154766,reg,False,AAPL
2016-02-08,93.130000,93.990000,96.350000,92.590000,231122263,reg,False,AAPL
2016-02-15,94.960000,96.040000,98.890000,94.610000,168316315,reg,False,AAPL
2016-02-22,96.310000,96.910000,98.023700,93.320000,159052926,reg,False,AAPL
2016-02-29,96.860000,103.010000,103.750000,96.650000,201803826,reg,False,AAPL
2016-03-07,102.390000,102.260000,102.830000,100.150000,155601196,reg,False,AAPL
2016-03-14,101.960000,105.920000,106.500000,101.780000,182073165,reg,False,AAPL
2016-03-21,105.930000,105.670000,107.650000,104.890000,119783503,reg,False,AAPL
2016-03-28,106.010000,109.990000,110.420000,104.880000,147965003,reg,False,AAPL
2016-04-04,110.410000,108.660000,112.190000,108.121000,145722543,reg,False,AAPL
2016-04-11,108.945000,109.850000,112.390000,108.660000,162310051,reg,False,AAPL
2016-04-18,108.890000,105.680000,108.950000,104.620000,189053016,reg,False,AAPL
2016-04-25,104.910000,93.740000,105.650000,92.510000,349424063,reg,False,AAPL
2016-05-02,93.965000,92.720000,95.900000,91.850000,225607242,reg,False,AAPL
2016-05-09,93.000000,90.520000,93.770000,89.470000,216049836,reg,False,AAPL
2016-05-16,92.390000,95.220000,95.430000,91.650000,212707154,reg,False,AAPL
2016-05-23,95.880000,100.350000,100.730000,95.670000,204473324,reg,False,AAPL
2016-05-30,99.600000,97.920000,100.400000,96.630000,140176985,reg,False,AAPL
2016-06-06,97.990000,98.830000,101.890000,97.550000,124864375,reg,False,AAPL
2016-06-13,98.690000,95.330000,99.120000,95.300000,191732699,reg,False,AAPL
2016-06-20,96.000000,93.400000,96.890000,92.650000,206728924,reg,False,AAPL
2016-06-27,93.030000,95.890000,96.465000,91.500000,185461004,reg,False,AAPL
2016-07-04,95.400000,96.680000,96.890000,94.370000,112705961,reg,False,AAPL
2016-07-11,96.760000,98.780000,99.300000,96.730000,142910566,reg,False,AAPL
2016-07-18,98.700000,98.660000,101.000000,98.310000,147565456,reg,False,AAPL
2016-07-25,98.200000,104.210000,104.550000,96.420000,256571090,reg,False,AAPL
2016-08-01,104.440000,107.480000,107.650000,104.000000,170149120,reg,False,AAPL
2016-08-08,107.520000,108.180000,108.940000,107.160000,124505869,reg,False,AAPL
2016-08-15,108.140000,109.360000,110.230000,108.080000,132371408,reg,False,AAPL
2016-08-22,109.000000,106.940000,109.320000,106.310000,123605519,reg,False,AAPL
2016-08-29,106.630000,107.730000,108.000000,105.500000,133000624,reg,False,AAPL
2016-09-05,107.820000,103.130000,108.760000,103.130000,168803729,reg,False,AAPL
2016-09-12,102.650000,114.920000,116.130000,102.530000,390309366,reg,False,AAPL
2016-09-19,115.190000,112.710000,116.180000,111.550000,201095635,reg,False,AAPL
2016-09-26,111.640000,113.050000,114.640000,111.550000,156384035,reg,False,AAPL
2016-10-03,112.750000,114.060000,114.560000,112.280000,126029440,reg,False,AAPL
2016-10-10,115.020000,117.630000,118.690000,114.720000,208708383,reg,False,AAPL
2016-10-17,117.290000,116.600000,118.210000,113.800000,115531434,reg,False,AAPL
2016-10-24,117.100000,113.720000,118.360000,113.310000,210225569,reg,False,AAPL
2016-10-31,113.600000,108.840000,114.230000,108.110000,156346518,reg,False,AAPL
2016-11-07,110.000000,108.430000,111.720000,105.830000,207268979,reg,False,AAPL
2016-11-14,107.740000,110.060000,110.540000,104.080000,198341456,reg,False,AAPL
2016-11-21,110.020000,111.790000,112.420000,110.010000,94132421,reg,False,AAPL
2016-11-28,111.430000,109.900000,112.465000,108.850000,155499850,reg,False,AAPL
2016-12-05,110.000000,113.950000,114.700000,108.250000,151989664,reg,False,AAPL
2016-12-12,113.190000,115.970000,116.730000,112.490000,195015700,reg,False,AAPL
2016-12-19,115.800000,116.520000,117.500000,115.590000,113322891,reg,False,AAPL
2016-12-26,116.520000,115.820000,118.016600,115.430000,84828531,reg,False,AAPL
2017-01-02,115.800000,117.910000,118.160000,114.760000,103845468,reg,False,AAPL
2017-01-09,117.940000,119.040000,119.930000,117.940000,138810760,reg,False,AAPL
2017-01-16,118.220000,120.000000,120.500000,118.220000,116347987,reg,False,AAPL
2017-01-23,120.000000,121.950000,122.440000,119.500000,124748449,reg,False,AAPL
2017-01-30,120.930000,129.080000,130.490000,120.620000,249781248,reg,False,AAPL
2017-02-06,128.950000,132.120000,132.940000,128.900000,136449154,reg,False,AAPL
2017-02-13,133.000000,135.720000,136.270000,132.750000,136667496,reg,False,AAPL
2017-02-20,136.245000,136.660000,137.480000,135.280000,87908859,reg,False,AAPL
2017-02-27,137.000000,139.780000,140.278600,136.280000,127936976,reg,False,AAPL
2017-03-06,139.330000,139.140000,139.980000,137.050000,99672282,reg,False,AAPL
2017-03-13,138.820000,139.990000,141.020000,138.820000,121539506,reg,False,AAPL
2017-03-20,140.460000,140.640000,142.800000,139.730000,129673979,reg,False,AAPL
2017-03-27,139.390000,143.660000,144.500000,138.620000,127008757,reg,False,AAPL
2017-04-03,143.670000,143.340000,145.460000,143.050000,105416154,reg,False,AAPL
2017-04-10,143.500000,141.050000,143.879200,140.060000,87485653,reg,False,AAPL
2017-04-17,141.170000,142.270000,142.920000,140.450000,89248503,reg,False,AAPL
2017-04-24,143.520000,143.650000,144.900000,143.180000,91153780,reg,False,AAPL
2017-05-01,145.000000,148.960000,148.980000,144.270000,175351768,reg,False,AAPL
2017-05-08,149.030000,156.100000,156.420000,149.030000,173470543,reg,False,AAPL
2017-05-15,156.010000,153.060000,156.650000,149.710000,157354878,reg,False,AAPL
2017-05-22,154.060000,153.610000,154.900000,152.670000,103267697,reg,False,AAPL
2017-05-29,153.350000,155.450000,155.450000,152.220000,88752818,reg,False,AAPL
2017-06-05,154.410000,148.980000,155.980000,146.020000,159159690,reg,False,AAPL
2017-06-12,145.740000,142.270000,147.500000,142.200000,220530473,reg,False,AAPL
2017-06-19,143.660000,146.280000,147.160000,143.660000,133252911,reg,False,AAPL
2017-06-26,147.230000,144.020000,148.280000,142.280000,127060159,reg,False,AAPL
2017-07-03,144.930000,144.180000,145.300100,142.410000,79177899,reg,False,AAPL
2017-07-10,144.190000,149.040000,149.330000,143.370000,111088384,reg,False,AAPL
2017-07-17,148.910000,150.270000,151.740000,148.570000,106081595,reg,False,AAPL
2017-07-24,150.560000,149.500000,153.990000,147.300000,105818033,reg,False,AAPL
2017-07-31,149.950000,156.390000,159.750000,148.130000,172808513,reg,False,AAPL
2017-08-07,157.000000,157.480000,161.830000,154.630000,151269116,reg,False,AAPL
2017-08-14,159.380000,157.500000,162.510000,156.720000,134628467,reg,False,AAPL
2017-08-21,157.420000,159.860000,160.740000,155.110100,112671175,reg,False,AAPL
2017-08-28,160.140000,164.050000,164.940000,159.930000,126128613,reg,False,AAPL
2017-09-04,163.690000,158.630000,164.250000,158.530000,101728077,reg,False,AAPL
2017-09-11,160.600000,159.880000,163.960000,157.910000,221077556,reg,False,AAPL
2017-09-18,160.110000,151.890000,160.500000,150.560000,186188535,reg,False,AAPL
2017-09-25,150.000000,154.120000,154.718900,149.160000,154856873,reg,False,AAPL
2017-10-02,154.200000,155.300000,155.490000,152.460000,93784212,reg,False,AAPL
2017-10-09,155.920000,156.990000,158.000000,155.100000,81304819,reg,False,AAPL
2017-10-16,157.800000,156.250000,160.870000,155.020000,126051203,reg,False,AAPL
2017-10-23,156.900000,163.050000,163.600000,155.270000,122403284,reg,False,AAPL
2017-10-30,164.000000,172.500000,174.260000,163.720000,215177366,reg,False,AAPL
2017-11-06,172.210000,174.670000,176.240000,171.720000,138425414,reg,False,AAPL
2017-11-13,173.500000,170.150000,174.500000,168.380000,116459665,reg,False,AAPL
2017-11-20,170.290000,174.970000,175.500000,169.560000,81009340,reg,False,AAPL
2017-11-27,174.970000,171.050000,175.080000,167.160000,170098474,reg,False,AAPL
2017-12-04,172.450000,169.370000,172.620000,166.460000,137481078,reg,False,AAPL
2017-12-11,169.050000,173.970000,174.170000,168.790000,139147284,reg,False,AAPL
2017-12-18,174.890000,175.010000,177.200000,173.250000,117632550,reg,False,AAPL
2017-12-25,170.600000,169.230000,171.850000,169.220000,97163858,reg,False,AAPL
2018-01-01,170.160000,175.000000,175.370000,169.260000,101168448,reg,False,AAPL
2018-01-08,174.400000,177.090000,177.360000,173.000000,110197467,reg,False,AAPL
2018-01-15,178.000000,178.460000,180.100000,175.070000,127571202,reg,False,AAPL
2018-01-22,177.300000,171.510000,179.440000,170.060000,191574802,reg,False,AAPL
2018-01-29,170.000000,160.500000,170.160000,160.100000,262992133,reg,False,AAPL
2018-02-05,159.180000,156.410000,163.880000,150.240000,317654064,reg,False,AAPL
2018-02-12,158.410000,172.430000,174.820000,157.510000,225336897,reg,False,AAPL
2018-02-19,171.870000,175.500000,175.650000,171.010000,136206463,reg,False,AAPL
2018-02-26,176.210000,176.210000,180.615000,172.450000,202128357,reg,False,AAPL
2018-03-05,175.150000,179.980000,180.000000,174.270000,139852603,reg,False,AAPL
2018-03-12,180.230000,178.020000,183.500000,177.620000,155417452,reg,False,AAPL
2018-03-19,177.250000,164.940000,177.470000,164.940000,172670607,reg,False,AAPL
2018-03-26,168.070000,167.780000,175.150000,165.190000,158530865,reg,False,AAPL
2018-04-02,167.890000,168.380000,174.230400,164.470000,164408813,reg,False,AAPL
2018-04-09,170.060000,174.730000,175.840000,169.845000,128077139,reg,False,AAPL
2018-04-16,174.980000,165.720000,178.936500,165.430000,169238340,reg,False,AAPL
2018-04-23,166.860000,162.320000,166.920000,160.630000,162208431,reg,False,AAPL
2018-04-30,162.190000,183.830000,184.250000,161.840000,252805668,reg,False,AAPL
2018-05-07,185.110000,188.590000,190.370000,183.665000,148266951,reg,False,AAPL
2018-05-14,189.100000,186.310000,189.530000,185.100000,99248752,reg,False,AAPL
2018-05-21,187.920000,188.580000,189.650000,185.760000,94394844,reg,False,AAPL
2018-05-28,187.600000,190.240000,190.260000,186.140000,92129925,reg,False,AAPL
2018-06-04,191.650000,191.700000,194.200000,189.770000,116769735,reg,False,AAPL
2018-06-11,191.450000,188.840000,192.880000,188.260000,140187228,reg,False,AAPL
2018-06-18,187.690000,184.920000,189.220000,183.450000,125604366,reg,False,AAPL
2018-06-25,183.400000,185.110000,187.280000,180.730000,121620526,reg,False,AAPL
2018-07-02,183.680000,187.970000,188.434000,183.420000,65775642,reg,False,AAPL
2018-07-09,189.440000,191.330000,191.840000,187.610000,85088176,reg,False,AAPL
2018-07-16,191.650000,191.440000,192.650000,189.200000,87963808,reg,False,AAPL
2018-07-23,190.640000,190.980000,195.960000,189.560000,94613682,reg,False,AAPL
2018-07-30,191.900000,207.990000,208.740000,189.070000,224189697,reg,False,AAPL
2018-08-06,207.930000,207.530000,209.780000,204.520000,121642089,reg,False,AAPL
2018-08-13,207.700000,217.580000,217.950000,207.700000,139373818,reg,False,AAPL
2018-08-20,218.170000,216.160000,219.180000,213.840000,112825161,reg,False,AAPL
2018-08-27,217.020000,227.630000,228.870000,216.330000,162690645,reg,False,AAPL
2018-09-03,228.590000,221.300000,229.670000,220.710000,132632878,reg,False,AAPL
2018-09-10,221.000000,223.840000,228.350000,216.470000,198249908,reg,False,AAPL
2018-09-17,222.000000,217.660000,222.950000,215.300000,218746220,reg,False,AAPL
2018-09-24,216.720000,225.740000,226.440000,216.630000,129343034,reg,False,AAPL
2018-10-01,227.950000,224.290000,233.470000,220.580000,142666234,reg,False,AAPL
2018-10-08,222.060000,222.110000,227.270000,212.320000,192007749,reg,False,AAPL
2018-10-15,221.040000,219.310000,222.990000,213.000000,148520408,reg,False,AAPL
2018-10-22,219.660000,216.300000,224.230000,212.670000,185599234,reg,False,AAPL
2018-10-29,219.190000,207.480000,222.360000,205.430000,270606277,reg,False,AAPL
2018-11-05,204.390000,204.470000,210.120000,198.170000,191199370,reg,False,AAPL
2018-11-12,199.010000,193.530000,199.850000,185.930000,242226465,reg,False,AAPL
2018-11-19,190.000000,172.290000,190.700000,172.100000,164494301,reg,False,AAPL
2018-11-26,174.180000,178.580000,182.800000,170.260000,213749977,reg,False,AAPL
2018-12-03,184.450000,168.490000,184.940000,168.300000,167522325,reg,False,AAPL
