Ex,Pay,Dec,Div
2015-08-06,2015-08-24,2015-07-22,0.1
2015-11-03,2015-11-19,2015-10-21,0.1
2016-02-08,2016-02-24,2016-01-27,0.1
2016-05-02,2016-05-18,2016-04-21,0.1
2016-08-03,2016-08-19,2016-07-20,0.1
2016-11-03,2016-11-21,2016-10-19,0.1
2017-02-09,2017-02-27,2017-01-25,0.1
2017-05-12,2017-05-30,2017-04-26,0.1
2017-08-10,2017-08-28,2017-07-25,0.1
2017-11-10,2017-11-27,2017-10-26,0.1
2018-02-05,2018-02-20,2018-01-24,0.1
2018-05-07,2018-05-22,2018-04-25,0.1
2018-08-06,2018-08-21,2018-07-25,0.1
2018-11-05,2018-11-20,2018-10-24,0.1
2019-02-05,2019-02-20,2019-01-23,0.1
2019-05-07,2019-05-22,2019-04-26,0.1
2019-08-06,2019-08-21,2019-07-24,0.1
2019-11-05,2019-11-20,2019-10-22,0.1
2020-02-04,2020-02-19,2020-01-22,0.1
