Ex,Pay,Dec,Div
2015-10-13,2015-11-14,,0.51
2016-01-13,2016-02-16,2015-10-30,0.57
2016-04-13,2016-05-16,2016-02-18,0.57
2016-07-13,2016-08-15,2016-06-16,0.57
2016-10-12,2016-11-15,2016-09-09,0.57
2017-01-11,2017-02-15,2016-10-28,0.64
2017-04-11,2017-05-15,2017-02-16,0.64
2017-07-12,2017-08-15,2017-06-22,0.64
2017-10-12,2017-11-15,2017-09-08,0.64
2018-01-11,2018-02-15,2017-10-27,0.71
2018-04-12,2018-05-15,2018-02-15,0.96
2018-07-12,2018-08-15,2018-06-14,0.96
2018-10-12,2018-11-15,2018-09-07,0.96
2019-01-14,2019-02-15,2018-11-02,1.07
2019-04-12,2019-05-15,2019-02-21,1.07
2019-07-12,2019-08-15,2019-06-20,1.07
2019-10-11,2019-11-15,2019-09-06,1.07
2020-01-14,2020-02-14,2019-11-01,1.18
2020-04-14,2020-05-15,2020-02-20,1.18
2020-07-14,2020-08-14,2020-06-17,1.18
