Ex,Pay,Dec,Div
2015-10-13,2015-11-15,2015-09-17,0.24
2016-01-13,2016-02-16,2015-12-11,0.26
2016-04-13,2016-05-16,2016-02-19,0.26
2016-07-13,2016-08-15,2016-06-10,0.26
2016-10-12,2016-11-15,2016-09-15,0.26
2017-01-11,2017-02-15,2016-12-09,0.265
2017-04-11,2017-05-15,2017-02-17,0.265
2017-07-12,2017-08-15,2017-06-09,0.265
2017-10-12,2017-11-15,2017-09-14,0.265
2018-01-11,2018-02-15,2017-12-15,0.28
2018-04-12,2018-05-15,2018-02-16,0.28
2018-07-12,2018-08-15,2018-06-08,0.28
2018-10-12,2018-11-15,2018-09-13,0.28
2019-01-14,2019-02-15,2018-12-14,0.32
2019-04-12,2019-05-15,2019-02-22,0.32
2019-07-12,2019-08-15,2019-06-14,0.32
2019-10-11,2019-11-15,2019-09-12,0.32
2020-01-14,2020-02-14,2019-12-13,0.36
2020-04-14,2020-05-15,2020-02-21,0.36
2020-07-14,2020-08-17,2020-06-12,0.36
