Date,Dividends
1988-07-18,0.0808
1988-09-23,0.0808
1989-01-05,0.0404
1989-03-22,0.05171
1989-06-14,0.05171
1989-09-19,0.05171
1990-01-08,0.00313
1990-03-26,0.00375
1990-07-02,0.00375
1990-09-14,0.00025
1991-01-09,0.00025
1991-03-22,0.005
1991-06-26,0.005
1991-09-25,0.005
1992-01-09,0.005
1992-03-23,0.005
1992-06-23,0.005
1992-09-24,0.005
1993-01-19,0.005
1993-03-26,0.00625
1993-06-23,0.00625
1993-10-01,0.00625
1994-01-21,0.00625
1994-03-28,0.00625
1994-06-30,0.00625
1994-09-29,0.00625
1995-01-12,0.00625
1995-03-31,0.00625
1995-07-05,0.00625
1995-10-04,0.00625
1996-01-17,0.00625
1996-04-02,0.00625
1996-07-03,0.00625
1996-09-30,0.00625
1997-01-14,0.00625
1997-03-27,0.00625
1997-07-02,0.00625
1997-07-29,0.00625
1997-09-29,0.00625
1997-12-30,0.00225
1998-04-01,0.00225
1998-07-01,0.00225
1998-09-21,0.00625
1998-12-23,0.00625
1999-03-29,0.00625
1999-06-29,0.00625
1999-09-24,0.00625
1999-12-23,0.00625
2000-03-23,0.00625
2000-06-30,0.00625
2000-09-28,0.00625
2001-01-02,0.0065
2001-03-22,0.0065
2001-06-22,0.0065
2001-09-21,0.0065
2001-12-31,0.0065
2002-03-21,0.0065
2002-06-21,0.0065
2002-09-20,0.0065
2003-01-07,0.0065
2003-03-20,0.0065
2003-06-19,0.0065
2003-09-19,0.0065
2004-01-07,0.0065
2004-03-26,0.0065
2004-06-25,0.0065
2004-09-24,0.0065
2004-12-23,0.0065
2005-03-24,0.0065
