Ex,Pay,Dec,Div
2015-09-14,2015-10-01,2015-07-09,0.29
2015-12-11,2016-01-04,2015-10-05,0.29
2016-03-14,2016-04-01,2016-02-26,0.305
2016-06-13,2016-07-01,2016-05-10,0.305
2016-09-13,2016-10-03,2016-07-11,0.305
2016-12-13,2017-01-02,2016-11-03,0.305
2017-03-13,2017-04-03,2017-02-23,0.32
2017-06-13,2017-07-03,2017-05-11,0.32
2017-09-14,2017-10-02,2017-07-10,0.32
2017-12-14,2018-01-02,2017-11-06,0.32
2018-03-14,2018-04-02,2018-02-23,0.335
2018-06-14,2018-07-02,2018-05-08,0.335
2018-09-13,2018-10-01,2018-07-26,0.335
2018-12-13,2019-01-02,2018-10-30,0.335
2019-03-14,2019-04-01,2019-02-26,0.3675
2019-06-13,2019-07-01,2019-05-08,0.3675
2019-09-12,2019-10-01,2019-07-24,0.3675
2019-12-12,2020-01-02,2019-10-29,0.3675
2020-03-12,2020-04-01,2020-02-28,0.385
2020-06-11,2020-07-01,2020-05-05,0.385
