Ex,Pay,Dec,Div
2015-08-14,2015-09-01,2015-08-04,0.2
2015-08-14,2015-09-01,,0.2
2015-11-13,2015-12-03,2015-11-04,0.2
2016-02-19,2016-03-08,2016-01-21,0.275
2016-05-20,2016-06-07,2016-05-13,0.275
2016-08-16,2016-09-01,2016-08-03,0.275
2016-11-10,2016-12-01,,0.275
2017-02-16,2017-03-09,2017-02-07,0.3
2017-05-19,2017-06-08,,0.3
2017-08-18,2017-09-07,2017-08-04,0.3
2017-11-20,2017-12-07,2017-11-03,0.3
2018-02-16,2018-03-08,2018-01-25,0.32
2018-05-21,2018-06-07,2018-05-04,0.32
2018-08-20,2018-09-06,2018-08-08,0.32
2018-11-19,2018-12-06,2018-11-01,0.32
2019-02-15,2019-03-07,2019-01-24,0.35
2019-05-20,2019-06-06,2019-05-09,0.35
2019-08-19,2019-09-05,2019-08-06,0.35
2019-11-18,2019-12-05,2019-11-07,0.35
2020-02-14,2020-03-05,2020-01-28,0.375
