Ex,Pay,Dec,Div
2015-05-07,2015-05-25,2015-04-30,0.03
2015-08-05,2015-08-25,2015-07-21,0.03
2015-11-04,2015-11-25,2015-09-25,0.03
2016-02-03,2016-02-25,2016-01-18,0.03
2016-05-04,2016-05-25,2016-03-29,0.03
2016-08-03,2016-08-25,2016-07-22,0.03
2016-11-08,2016-11-25,2016-09-29,0.09
2017-02-01,2017-02-25,2017-01-13,0.06
2017-05-03,2017-05-25,2017-02-23,0.06
2017-08-02,2017-08-25,2017-07-24,0.06
2017-11-02,2017-11-25,2017-09-19,0.06
2018-02-01,2018-02-25,2018-01-19,0.06
2018-05-03,2018-05-25,2018-02-15,0.06
2018-08-02,2018-08-25,2018-05-17,0.06
2018-11-01,2018-11-25,2018-09-27,0.06
2019-02-07,2019-02-25,2019-01-29,0.06
2019-05-02,2019-05-25,2019-03-11,0.02
2019-08-01,2019-08-25,2019-07-11,0.02
2019-11-07,2019-11-25,2019-09-26,0.02
2020-02-06,2020-02-25,2020-01-17,0.02
