Ex,Pay,Dec,Div
2015-10-07,2015-11-10,2015-09-28,0.29
2016-01-06,2016-02-10,2015-12-01,0.29
2016-04-06,2016-05-10,2016-03-28,0.29
2016-06-29,2016-08-10,2016-05-03,0.29
2016-10-05,2016-11-10,2016-09-27,0.32
2017-01-04,2017-02-10,2016-11-22,0.32
2017-04-05,2017-05-10,2017-03-28,0.32
2017-07-05,2017-08-10,2017-05-01,0.32
2017-10-05,2017-11-10,2017-09-26,0.35
2018-01-04,2018-02-09,2017-11-28,0.35
2018-04-05,2018-05-10,2018-03-12,0.35
2018-07-05,2018-08-10,2018-05-08,0.35
2018-10-04,2018-11-09,2018-09-24,0.39
2019-01-03,2019-02-08,2018-11-27,0.39
2019-04-04,2019-05-10,2019-03-11,0.39
2019-07-03,2019-08-09,2019-05-08,0.39
2019-10-03,2019-11-08,2019-09-23,0.43
2020-01-02,2020-02-10,2019-12-12,0.43
2020-04-02,2020-05-08,2020-03-09,0.43
2020-07-01,2020-08-10,2020-05-07,0.43
