Date,Dividends
1993-09-24,0.5829
1994-03-18,0.9531
1994-09-23,0.6489
1995-03-24,1.0557
1995-09-22,0.6708
1996-03-22,1.1172
1996-09-20,0.7689
1997-03-19,1.3641
1997-09-17,0.8442
1998-03-18,1.5555
1998-04-08,0.0
1998-09-16,0.296977
1999-04-07,0.506999
1999-09-08,0.261377
2000-03-08,0.534211
2000-09-06,0.23529
2000-11-14,0.5365
2001-02-21,0.47
2001-08-22,0.23
2002-02-20,0.47
2002-08-21,0.23
2003-02-19,0.47
2003-08-20,0.255
2004-02-18,0.54
2004-08-11,0.295
2005-02-09,0.645
2005-08-10,0.38
2006-02-08,0.92
2006-08-09,0.49
2007-02-07,1.23
2007-08-08,0.52
2008-02-07,1.35
2008-08-06,0.55
2009-02-04,1.5
2009-08-05,0.59
2010-02-03,1.71
2010-08-04,0.7
2011-02-02,1.85
2011-08-04,0.85
2012-02-15,1.95
2012-08-08,0.9
2013-02-13,1.9
2013-08-14,0.9
2014-02-19,1.9
2014-08-13,0.9
2015-02-18,1.9
2015-02-19,1.9
2015-07-27,0.0
2015-08-12,0.45
2016-02-17,0.95
2016-08-10,0.45
2017-02-15,0.95
2017-08-09,0.45
2018-02-15,0.95
2018-08-09,0.45
2019-02-28,0.95
2019-08-08,0.45
2020-02-27,0.95
