Ex,Pay,Dec,Div
2015-08-05,2015-09-04,2015-06-22,0.910000000
2015-11-04,2015-12-04,2015-10-26,0.910000000
2016-02-10,2016-03-04,2015-12-14,1.090000000
2016-05-11,2016-06-03,2016-05-02,1.090000000
2016-08-10,2016-09-02,2016-06-27,1.090000000
2016-11-08,2016-12-02,2016-10-31,1.090000000
2017-02-08,2017-03-03,2016-12-12,1.420000000
2017-05-10,2017-06-02,2017-05-01,1.420000000
2017-08-09,2017-09-01,2017-06-26,1.420000000
2017-11-09,2017-12-01,2017-10-30,1.420000000
2018-02-08,2018-03-02,2017-12-11,1.710000000
2018-05-10,2018-06-01,2018-04-30,1.71
2018-08-09,2018-09-07,2018-06-25,1.71
2018-11-08,2018-12-07,2018-10-22,1.71
2019-02-07,2019-03-01,2018-12-17,2.055
2019-05-09,2019-06-07,2019-04-29,2.055
2019-08-08,2019-09-06,2019-06-24,2.055
2019-11-07,2019-12-06,2019-10-21,2.055
2020-02-13,2020-03-06,2019-12-16,2.055
