Ex,Pay,Dec,Div
2015-09-02,2015-09-25,2015-07-23,0.05
2015-12-02,2015-12-24,2015-10-22,0.05
2016-03-02,2016-03-25,2016-01-21,0.05
2016-06-01,2016-06-24,2016-04-28,0.05
2016-08-31,2016-09-23,2016-07-28,0.075
2016-11-30,2016-12-30,2016-10-27,0.075
2017-03-01,2017-03-31,2017-01-26,0.075
2017-05-31,2017-06-30,,0.075
2017-08-30,2017-09-29,2017-07-26,0.12
2017-11-30,2017-12-29,2017-10-25,0.12
2018-03-01,2018-03-30,2018-01-31,0.12
2018-05-31,2018-06-29,2018-04-25,0.12
2018-09-06,2018-09-28,2018-07-26,0.15
2018-12-06,2018-12-28,2018-10-24,0.15
2019-02-28,2019-03-29,2019-01-30,0.15
2019-06-06,2019-06-28,2019-04-24,0.15
2019-09-05,2019-09-27,2019-07-25,0.18
2019-12-05,2019-12-27,2019-10-22,0.18
2020-03-05,2020-03-27,2020-01-29,0.18
2020-06-04,2020-06-26,2020-04-22,0.18
