Ex,Pay,Dec,Div
2015-08-31,2015-09-22,,2.180000000
2015-12-01,2015-12-23,2015-11-17,2.180000000
2016-03-03,2016-03-23,,2.290000000
2016-06-02,2016-06-23,2016-05-25,2.290000000
2016-08-31,2016-09-23,2016-07-20,2.290000000
2016-12-08,2016-12-23,2016-11-30,2.290000000
2017-03-02,2017-03-23,2017-01-13,2.500000000
2017-06-01,2017-06-23,2017-05-25,2.500000000
2017-08-31,2017-09-22,2017-07-20,2.500000000
2017-12-01,2017-12-21,2017-11-16,2.500000000
2018-03-06,2018-03-22,2018-01-12,2.88
2018-06-06,2018-06-21,2018-05-23,2.88
2018-09-06,2018-09-24,2018-07-17,3.13
2018-12-06,2018-12-26,2018-11-20,3.13
2019-03-05,2019-03-21,2019-01-16,3.3
2019-06-05,2019-06-20,2019-05-23,3.3
2019-09-04,2019-09-24,2019-07-17,3.3
2019-12-05,2019-12-23,2019-11-19,3.3
2020-03-04,2020-03-23,2020-01-29,3.63
2020-06-04,2020-06-23,2020-05-21,3.63
