Ex,Pay,Dec,Div
2015-08-05,2015-09-18,,0.600000000
2015-11-04,2015-12-18,,
2016-02-10,2016-03-24,2016-02-18,
2016-02-10,2016-03-24,2016-02-18,0.600000000
2016-05-04,2016-06-17,,
2016-05-04,2016-06-17,,
2016-08-03,2016-09-16,,0.600000000
2016-11-08,2016-12-16,,
2016-11-08,2016-12-16,,0.600000000
2017-02-15,2017-03-31,2017-02-23,
2017-02-15,2017-03-31,2017-02-23,0.600000000
2017-05-10,2017-06-23,2017-05-04,
2017-05-10,2017-06-23,2017-05-04,0.600000000
2017-08-09,2017-09-22,2017-08-01,
2017-08-09,2017-09-22,2017-08-01,0.600000000
2017-11-09,2017-12-21,,
2017-11-09,2017-12-21,,0.600000000
2018-02-15,2018-03-29,,0.6
2018-02-15,2018-03-29,,
2018-05-10,2018-06-22,,
2018-05-10,2018-06-22,,0.6
2018-08-09,2018-09-21,,
2018-08-09,2018-09-21,,0.615
2018-11-08,2018-12-21,,
2018-11-08,2018-12-21,,0.615
2019-02-14,2019-03-29,,
2019-02-14,2019-03-29,,0.615
2019-05-09,2019-06-21,2019-05-16,0.615
2019-08-08,2019-09-20,,
2019-08-08,2019-09-20,,0.615
2019-11-07,2019-12-20,,0.615
2020-02-13,2020-03-27,2020-02-04,0.63
2020-05-08,2020-06-19,2020-04-28,0.63
