Ex,Pay,Dec,Div
2015-10-29,2015-11-25,2015-10-22,0.050000000
2016-01-28,2016-02-26,2016-01-14,0.050000000
2016-04-28,2016-05-27,2016-04-01,0.050000000
2016-07-28,2016-08-26,2016-07-20,0.160000000
2016-11-03,2016-11-23,2016-10-21,0.160000000
2017-02-02,2017-02-24,2017-01-25,0.160000000
2017-04-27,2017-05-26,2017-04-03,0.160000000
2017-08-03,2017-08-25,2017-07-19,0.320000000
2017-11-03,2017-11-22,2017-10-18,0.320000000
2018-02-02,2018-02-23,2018-01-18,0.32
2018-05-04,2018-05-25,2018-04-25,0.32
2018-08-03,2018-08-24,2018-07-20,0.45
2018-11-02,2018-11-21,2018-10-18,0.45
2019-02-01,2019-02-22,2019-01-15,0.45
2019-05-03,2019-05-24,2019-04-17,0.45
2019-08-02,2019-08-23,2019-07-17,0.51
2019-11-01,2019-11-22,2019-10-22,0.51
2020-01-31,2020-02-28,2020-01-15,0.51
2020-05-01,2020-05-22,2020-04-21,0.51
2020-07-31,2020-08-28,2020-07-23,0.51
