Ex,Pay,Dec,Div
2015-10-22,2015-11-20,2015-10-14,0.770000000
2016-01-15,2016-02-20,2015-12-09,0.770000000
2016-04-21,2016-05-20,2016-04-13,0.770000000
2016-07-18,2016-08-20,2016-06-08,0.770000000
2016-10-20,2016-11-19,2016-10-12,0.770000000
2017-01-18,2017-02-18,2016-12-14,0.770000000
2017-04-20,2017-05-20,,0.770000000
2017-07-18,2017-08-19,2017-06-14,0.780000000
2017-10-20,2017-11-20,2017-10-11,0.780000000
2018-01-19,2018-02-20,2017-12-13,0.780000000
2018-04-20,2018-05-19,2018-04-11,0.78
2018-07-19,2018-08-20,2018-06-13,0.86
2018-10-19,2018-11-20,2018-10-10,0.86
2019-01-18,2019-02-20,2018-12-12,0.86
2019-04-18,2019-05-20,2019-04-10,0.86
2019-07-19,2019-08-20,2019-05-02,1.03
2019-10-18,2019-11-20,2019-10-09,1.03
2020-01-17,2020-02-20,2019-12-11,1.03
2020-04-17,2020-05-20,2020-04-08,1.03
2020-07-17,2020-08-20,2020-06-10,1.03
