Ex,Pay,Dec,Div
2015-08-19,2015-09-11,,0.3
2015-11-18,2015-12-11,,0.3
2016-02-17,2016-03-11,2016-01-14,0.3
2016-05-25,2016-06-17,,0.35
2016-08-24,2016-09-16,2016-07-14,0.35
2016-11-22,2016-12-16,2016-10-21,0.35
2017-02-22,2017-03-17,2017-01-18,0.35
2017-05-24,2017-06-16,2017-04-07,0.4
2017-08-23,2017-09-15,2017-07-18,0.4
2017-11-22,2017-12-15,2017-10-19,0.45
2018-02-22,2018-03-16,2018-01-18,0.45
2018-05-24,2018-06-15,2018-04-11,0.5
2018-08-23,2018-09-14,2018-07-19,0.5
2018-11-21,2018-12-14,2018-10-17,0.5
2019-02-21,2019-03-15,2019-01-17,0.5
2019-05-23,2019-06-14,2019-04-18,0.5
2019-08-22,2019-09-13,2019-07-11,0.5
2019-11-21,2019-12-13,2019-10-14,0.5
2020-02-20,2020-03-13,2020-01-16,0.5
