Ex,Pay,Dec,Div
2015-10-26,2015-11-13,2015-09-15,0.77
2016-01-25,2016-02-12,2015-11-17,0.77
2016-04-18,2016-05-06,2016-02-09,0.77
2016-07-25,2016-08-12,2016-05-16,0.8
2016-10-24,2016-11-14,2016-09-13,0.8
2017-01-23,2017-02-10,2016-11-15,0.8
2017-04-17,2017-05-05,2017-02-07,0.8
2017-07-17,2017-08-04,2017-05-08,0.84
2017-10-24,2017-11-13,2017-09-12,0.84
2018-01-23,2018-02-09,2017-11-14,0.84
2018-04-24,2018-05-11,2018-02-13,0.96
2018-07-31,2018-08-17,2018-05-21,0.96
2018-10-30,2018-11-16,2018-09-18,0.96
2019-01-22,2019-02-08,2018-11-13,0.96
2019-04-23,2019-05-10,2019-02-12,0.96
2019-07-30,2019-08-16,2019-05-20,1.06
2019-10-29,2019-11-15,2019-09-17,1.06
2020-01-28,2020-02-14,2019-11-19,1.06
2020-04-21,2020-05-08,2020-02-11,1.06
2020-07-28,2020-08-14,2020-05-19,1.11
