Ex,Pay,Dec,Div
2015-10-05,2015-10-28,2015-07-23,0.25
2016-01-04,2016-01-27,2015-10-21,0.25
2016-04-04,2016-04-27,2016-01-29,0.275
2016-07-01,2016-07-27,2016-05-11,0.275
2016-10-03,2016-10-26,2016-07-13,0.275
2016-12-30,2017-01-25,2016-10-11,0.275
2017-04-03,2017-04-26,2017-01-26,0.1575
2017-06-30,2017-07-26,2017-05-10,0.1575
2017-10-03,2017-10-25,2017-07-25,0.1575
2018-01-02,2018-01-24,2017-10-24,0.1575
2018-04-03,2018-04-25,2018-01-22,0.19
2018-07-02,2018-07-25,2018-05-09,0.19
2018-10-02,2018-10-24,2018-07-19,0.19
2018-12-31,2019-01-23,2018-10-16,0.19
2019-04-02,2019-04-24,2019-01-22,0.21
2019-07-02,2019-07-24,2019-05-08,0.21
2019-10-01,2019-10-23,2019-07-18,0.21
2020-01-07,2020-01-29,2019-10-22,0.21
2020-03-31,2020-04-22,2020-01-18,0.23
2020-06-30,2020-07-22,2020-05-13,0.23
