Ex,Pay,Dec,Div
2015-08-06,2015-08-20,2015-07-30,0.400000000
2015-11-05,2015-11-19,2015-10-29,0.400000000
2016-02-11,2016-02-26,2016-02-03,0.400000000
2016-05-12,2016-05-26,2016-05-05,0.400000000
2016-08-04,2016-08-18,2016-07-28,0.400000000
2016-11-09,2016-11-25,2016-11-03,0.400000000
2017-02-09,2017-02-24,2017-02-02,0.400000000
2017-05-11,2017-05-25,2017-05-04,0.400000000
2017-08-03,2017-08-17,2017-07-27,0.400000000
2017-11-10,2017-11-24,2017-11-02,0.400000000
2018-02-09,2018-02-23,2018-02-01,0.4
2018-05-11,2018-05-24,2018-05-03,0.4
2018-08-03,2018-08-16,2018-07-26,0.4
2018-11-08,2018-11-23,2018-11-01,0.4
2019-02-08,2019-02-22,2019-01-31,0.4
2019-05-10,2019-05-23,2019-05-02,0.4
2019-08-02,2019-08-15,2019-07-24,0.4
2019-11-08,2019-11-22,2019-10-31,0.4
2020-02-07,2020-02-21,2020-01-29,0.4
2020-05-08,2020-05-21,2020-04-29,0.4
