Ex,Pay,Dec,Div
2015-08-12,2015-08-28,2015-07-27,0.400000000
2015-11-10,2015-11-27,2015-10-29,0.400000000
2016-02-10,2016-02-26,2016-01-29,0.400000000
2016-04-27,2016-05-13,2016-04-14,0.450000000
2016-08-10,2016-08-26,2016-07-25,0.450000000
2016-11-02,2016-11-18,2016-10-12,0.450000000
2017-02-08,2017-02-24,2017-01-27,0.450000000
2017-05-08,2017-05-26,2017-04-25,7.000000000
2017-05-10,2017-05-26,2017-04-25,0.500000000
2017-08-16,2017-09-01,2017-07-31,0.500000000
2017-11-16,2017-12-01,2017-10-30,0.500000000
2018-02-15,2018-03-02,2018-01-30,0.5
2018-05-10,2018-05-25,2018-04-24,0.57
2018-08-30,2018-09-14,2018-08-17,0.57
2018-11-08,2018-11-23,2018-10-24,0.57
2019-02-07,2019-02-22,2019-01-24,0.57
2019-05-09,2019-05-24,2019-04-26,0.65
2019-08-29,2019-09-13,2019-08-13,0.65
2019-10-31,2019-11-15,2019-10-18,0.65
2020-02-06,2020-02-21,2020-01-23,0.65
2020-04-30,2020-05-15,2020-04-15,0.7
2020-07-30,2020-08-14,2020-07-15,0.7
