Ex,Pay,Dec,Div
2015-09-23,2015-10-26,2015-07-24,0.262664165
2015-09-23,2015-10-26,2015-07-24,0.350000000
2015-12-29,2016-01-25,2015-12-15,0.350000000
2015-12-29,2016-01-25,2015-12-15,0.252890173
2016-03-22,2016-04-25,2016-02-23,0.263300000
2016-03-22,2016-04-25,2016-02-23,0.350000000
2016-06-22,2016-07-25,2016-04-19,0.386041000
2016-06-22,2016-07-25,2016-04-19,0.500000000
2016-09-28,2016-10-24,2016-07-11,0.381185000
2016-09-28,2016-10-24,2016-07-11,0.500000000
2016-12-28,2017-01-30,2016-12-13,0.500000000
2016-12-28,2017-01-30,2016-12-13,0.372384002
2017-03-29,2017-04-24,2017-02-14,0.375319021
2017-03-29,2017-04-24,2017-02-14,0.500000000
2017-06-28,2017-07-31,2017-05-10,0.433459197
2017-06-28,2017-07-31,2017-05-10,0.562500000
2017-09-28,2017-10-30,2017-07-17,0.450721153
2017-09-28,2017-10-30,2017-07-17,0.562500000
2017-12-28,2018-01-29,2017-11-23,0.448386
2017-12-28,2018-01-29,2017-11-23,0.5625
2018-03-22,2018-04-30,2018-02-15,0.43753889234
2018-03-22,2018-04-30,2018-02-15,0.5625
2018-06-28,2018-07-30,2018-05-10,0.49362089914
2018-06-28,2018-07-30,2018-05-10,0.65
2018-09-27,2018-10-29,2018-09-17,0.502124372345
2018-09-27,2018-10-29,2018-09-17,0.65
2018-12-27,2019-01-28,2018-12-18,0.47660947353
2018-12-27,2019-01-28,2018-12-18,0.65
2019-03-28,2019-04-29,2019-02-14,0.486417720572
2019-03-28,2019-04-29,2019-02-14,0.65
2019-06-27,2019-07-29,2019-05-06,0.83
2019-06-27,2019-07-29,2019-05-06,0.634217162069
2019-09-26,2019-10-28,2019-07-15,0.626462374519
2019-09-26,2019-10-28,2019-07-15,0.83
2019-12-26,2020-01-27,2019-12-16,0.6346536
2019-12-26,2020-01-27,2019-12-16,0.83
2020-03-26,2020-04-27,2020-01-28,0.590495162208
2020-03-26,2020-04-27,2020-01-28,0.83
2020-06-25,2020-07-27,2020-04-20,0.6069026031
2020-06-25,2020-07-27,2020-04-20,0.83
