Ex,Pay,Dec,Div
2015-10-01,2015-10-21,2015-09-15,0.21
2016-01-04,2016-01-20,2015-11-18,0.21
2016-04-04,2016-04-27,2016-02-10,0.26
2016-07-05,2016-07-27,2016-06-06,0.26
2016-10-03,2016-10-26,2016-09-09,0.26
2017-01-04,2017-01-25,2016-12-07,0.26
2017-04-04,2017-04-26,2017-02-15,0.29
2017-07-05,2017-07-26,2017-06-06,0.29
2017-10-04,2017-10-25,2017-09-13,0.29
2018-01-04,2018-01-24,2017-12-10,0.29
2018-04-04,2018-04-25,2018-02-14,0.33
2018-07-05,2018-07-25,2018-05-30,0.33
2018-10-04,2018-10-24,2018-09-20,0.33
2019-01-03,2019-01-23,2018-12-05,0.33
2019-04-04,2019-04-24,2019-02-13,0.35
2019-07-03,2019-07-24,2019-06-05,0.35
2019-10-03,2019-10-23,2019-09-20,0.35
2020-01-02,2020-01-22,2019-12-09,0.35
2020-04-02,2020-04-22,2020-02-12,0.36
2020-07-02,2020-07-22,2020-06-10,0.36
