Ex,Pay,Dec,Div
2015-08-17,2015-09-10,2015-07-29,1.07
2015-11-16,2015-12-10,2015-10-28,1.07
2016-02-16,2016-03-10,2016-01-27,1.07
2016-05-17,2016-06-10,2016-04-27,1.07
2016-08-17,2016-09-12,2016-07-27,1.07
2016-11-16,2016-12-12,2016-10-26,1.08
2017-02-14,2017-03-10,2017-01-25,1.08
2017-05-17,2017-06-12,2017-04-26,1.08
2017-08-16,2017-09-11,2017-07-26,1.08
2017-11-16,2017-12-11,2017-10-26,1.08
2018-02-15,2018-03-12,2018-01-31,1.12
2018-05-17,2018-06-11,2018-04-25,1.12
2018-08-16,2018-09-10,2018-07-25,1.12
2018-11-15,2018-12-10,2018-10-31,1.12
2019-02-14,2019-03-11,2019-01-30,1.19
2019-05-16,2019-06-10,2019-04-24,1.19
2019-08-16,2019-09-10,2019-07-31,1.19
2019-11-15,2019-12-10,2019-10-30,1.19
2020-02-14,2020-03-10,2020-01-29,1.29
2020-05-18,2020-06-10,2020-04-29,1.29
