Ex,Pay,Dec,Div
2015-08-26,2015-09-20,2015-08-04,0.6475
2015-11-23,2015-12-20,,0.6475
2016-03-02,2016-03-20,,0.7
2016-06-01,2016-06-20,2016-05-11,0.7
2016-08-31,2016-09-20,2016-08-02,0.7
2016-11-30,2016-12-20,2016-10-28,0.7
2017-03-01,2017-03-20,2017-01-24,0.755
2017-05-31,2017-06-20,2017-05-10,0.755
2017-08-30,2017-09-20,2017-08-01,0.755
2017-11-30,2017-12-20,2017-10-12,0.77
2018-03-01,2018-03-20,2018-01-26,0.835
2018-05-31,2018-06-20,2018-05-09,0.835
2018-09-06,2018-09-20,2018-07-31,0.835
2018-12-06,2018-12-20,2018-10-31,0.835
2019-02-28,2019-03-20,2019-01-25,0.9175
2019-06-06,2019-06-20,2019-05-07,0.9175
2019-09-05,2019-09-20,2019-07-31,0.9175
2019-12-05,2019-12-20,2019-10-31,0.9175
2020-02-27,2020-03-20,2020-01-24,0.94
2020-06-04,2020-06-20,2020-05-06,0.94
