Ex,Pay,Dec,Div
2015-08-05,2015-08-28,2015-07-24,0.135
2015-11-04,2015-11-30,2015-10-23,0.135
2016-02-12,2016-03-09,2016-02-03,0.135
2016-05-09,2016-06-01,2016-04-27,0.135
2016-08-10,2016-09-02,2016-07-29,0.2025
2016-11-08,2016-12-02,2016-10-28,0.2025
2017-02-22,2017-03-17,2017-02-10,0.2025
2017-05-17,2017-06-09,2017-05-05,0.2025
2017-08-21,2017-09-13,2017-08-09,0.305
2017-11-16,2017-12-08,2017-11-03,0.305
2018-02-22,2018-03-16,2018-02-09,0.305
2018-05-10,2018-06-01,2018-04-27,0.305
2018-07-25,2018-08-16,2018-07-12,0.35
2018-11-06,2018-11-28,2018-10-24,0.35
2019-02-28,2019-03-22,2019-02-07,0.35
2019-05-01,2019-05-23,2019-04-18,0.35
2019-07-24,2019-08-15,2019-07-11,0.4025
2019-10-23,2019-11-14,2019-10-10,0.4025
2020-02-19,2020-03-12,2020-02-06,0.4025
