Ex,Pay,Dec,Div
2015-08-04,2015-08-20,2015-07-16,0.280000000
2015-11-03,2015-11-19,2015-10-15,0.280000000
2016-02-02,2016-02-18,2016-01-14,0.280000000
2016-05-03,2016-05-19,2016-04-14,0.280000000
2016-08-02,2016-08-18,2016-07-14,0.300000000
2016-11-01,2016-11-17,2016-10-13,0.300000000
2017-02-07,2017-02-23,2017-01-19,0.300000000
2017-05-09,2017-05-25,2017-04-20,0.300000000
2017-08-22,2017-09-07,2017-07-25,0.350000000
2017-11-21,2017-12-07,2017-10-19,0.350000000
2018-02-21,2018-03-08,2018-01-18,0.35
2018-05-23,2018-06-07,2018-04-20,0.35
2018-08-22,2018-09-06,2018-06-28,0.4
2018-11-20,2018-12-06,2018-10-18,0.4
2019-02-20,2019-03-07,2019-01-17,0.4
2019-05-23,2019-06-06,2019-04-18,0.4
2019-08-21,2019-09-05,2019-07-18,0.44
2019-11-20,2019-12-05,2019-10-17,0.44
2020-02-19,2020-03-05,2020-01-21,0.44
2020-05-20,2020-06-04,2020-04-21,0.44
