Date,Dividends
2013-04-01,0.15
2013-05-01,0.15
2013-06-03,0.144
2013-07-01,0.145
2013-08-01,0.145
2013-09-03,0.14
2013-10-01,0.131
2013-11-01,0.131
2013-12-02,0.131
2013-12-27,0.131
2014-02-03,0.126
2014-03-03,0.126
2014-04-01,0.126
2014-05-01,0.126
2014-06-02,0.126
2014-07-01,0.126
2014-08-01,0.131
2014-09-02,0.141
2014-10-01,0.151
2014-11-03,0.161
2014-12-01,0.166
2014-12-29,0.038
2015-02-02,0.166
2015-03-02,0.166
2015-04-01,0.171
2015-05-01,0.171
2015-06-01,0.171
2015-07-01,0.171
2015-08-03,0.171
2015-09-01,0.171
2015-10-01,0.171
2015-11-02,0.166
2015-12-01,0.161
2015-12-29,0.156
2016-02-01,0.156
2016-03-01,0.1555
2016-04-01,0.1455
2016-05-02,0.136
2016-06-01,0.136
2016-07-01,0.136
2016-08-01,0.136
2016-09-01,0.136
2016-10-03,0.136
2016-11-01,0.136
2016-12-01,0.136
2016-12-28,0.136
2017-02-01,0.136
2017-03-01,0.136
2017-04-03,0.131
2017-05-01,0.127
2017-06-01,0.124
2017-07-03,0.124
2017-08-01,0.124
2017-09-01,0.124
2017-10-02,0.124
2017-11-01,0.124
2017-12-01,0.124
2017-12-28,0.124
2018-02-05,0.124
2018-03-05,0.125
2018-04-04,0.125
2018-05-03,0.129
2018-06-05,0.133
2018-07-05,0.136
2018-08-03,0.136
2018-09-06,0.136
2018-10-03,0.136
2018-11-05,0.136
2018-12-06,0.136
2018-12-28,0.136
2019-02-05,0.136
2019-03-05,0.141
2019-04-03,0.146
2019-05-03,0.151
2019-06-05,0.151
2019-07-03,0.154
2019-08-05,0.313
2019-09-05,0.157
2019-10-03,0.157
2019-11-05,0.157
2019-12-04,0.157
2019-12-30,0.157
2020-02-05,0.157
2020-04-03,0.117
2020-05-05,0.107
2020-06-03,0.107
2020-07-06,0.103
