Ex,Pay,Dec,Div
2015-09-11,2015-09-30,2015-07-16,0.310000000
2015-12-11,2015-12-30,2015-10-06,0.310000000
2016-03-11,2016-03-30,2016-02-24,0.380000000
2016-06-13,2016-06-30,2016-04-28,0.380000000
2016-09-13,2016-09-30,2016-07-21,0.380000000
2016-12-13,2016-12-30,,0.380000000
2017-03-13,2017-03-30,2017-02-15,0.460000000
2017-06-13,2017-06-30,2017-04-27,0.460000000
2017-09-14,2017-09-29,2017-07-19,0.460000000
2017-12-14,2017-12-29,2017-10-11,0.460000000
2018-03-14,2018-03-30,2018-02-14,0.55
2018-06-14,2018-06-29,2018-04-25,0.55
2018-09-13,2018-09-28,2018-07-19,0.55
2018-12-13,2018-12-28,2018-10-11,0.55
2019-03-14,2019-03-29,2019-02-20,0.65
2019-06-13,2019-06-28,2019-04-23,0.65
2019-09-12,2019-09-30,2019-07-10,0.65
2019-12-12,2019-12-27,2019-10-04,0.65
2020-03-12,2020-03-30,2020-02-19,0.78
2020-06-12,2020-06-30,2020-04-21,0.78
