Ex,Pay,Dec,Div
2015-08-12,2015-09-16,2015-07-07,0.825000000
2015-11-10,2015-12-16,2015-10-29,0.825000000
2016-02-10,2016-03-16,2016-01-04,0.825000000
2016-05-18,2016-06-16,2016-05-05,0.825000000
2016-08-10,2016-09-16,2016-07-11,0.855000000
2016-11-16,2016-12-16,2016-10-27,0.855000000
2017-02-15,2017-03-16,2017-01-04,0.855000000
2017-05-17,2017-06-16,2017-05-04,0.855000000
2017-08-16,2017-09-18,2017-07-07,0.890000000
2017-11-16,2017-12-18,2017-10-26,0.890000000
2018-02-15,2018-03-16,2018-01-05,0.89
2018-05-17,2018-06-18,2018-05-03,0.89
2018-08-16,2018-09-17,2018-07-06,0.9275
2018-11-15,2018-12-17,2018-10-26,0.9275
2019-02-14,2019-03-18,2019-01-04,0.9275
2019-05-16,2019-06-17,2019-05-02,0.9275
2019-08-15,2019-09-16,2019-07-08,0.945
2019-11-14,2019-12-16,2019-10-25,0.945
2020-02-13,2020-03-16,2020-01-03,0.945
2020-05-14,2020-06-16,2020-05-07,0.945
