Ex,Pay,Dec,Div
2015-10-30,2015-11-13,2015-10-23,0.318
2016-01-29,2016-02-12,2016-01-22,0.318
2016-05-04,2016-05-13,2016-04-26,0.318
2016-08-12,2016-08-23,2016-08-03,0.318
2016-11-09,2016-11-22,2016-11-02,0.318
2017-02-16,2017-02-28,2017-02-10,0.318
2017-05-19,2017-05-30,2017-05-03,0.318
2017-08-18,2017-08-29,2017-07-31,0.318
2017-11-13,2017-11-21,2017-10-31,0.318
2018-02-16,2018-02-27,2018-02-09,0.318
2018-05-21,2018-05-29,2018-05-01,0.318
2018-08-20,2018-08-28,2018-08-01,0.318
2018-11-15,2018-11-29,2018-11-06,0.318
2019-02-15,2019-02-26,2019-02-08,0.318
2019-05-20,2019-05-29,2019-04-29,0.318
2019-08-19,2019-08-27,2019-08-02,0.3305
2019-11-18,2019-11-26,2019-11-05,0.3305
2020-02-14,2020-02-25,2020-02-07,0.3305
2020-05-18,2020-05-27,2020-05-05,0.16525
