Ex,Pay,Dec,Div
2015-09-28,2015-10-15,2015-09-16,1.440000000
2015-12-30,2016-01-15,2015-12-16,1.440000000
2016-03-29,2016-04-15,2016-02-18,1.600000000
2016-06-28,2016-07-15,2016-05-20,1.600000000
2016-09-28,2016-10-14,2016-09-21,1.600000000
2016-12-28,2017-01-17,2016-12-15,1.600000000
2017-03-29,2017-04-17,2017-02-22,1.750000000
2017-06-28,2017-07-14,2017-05-18,1.750000000
2017-09-28,2017-10-16,2017-09-19,1.750000000
2017-12-28,2018-01-16,2017-12-13,1.750000000
2018-03-28,2018-04-16,2018-02-21,1.86
2018-06-28,2018-07-13,2018-05-21,1.86
2018-09-27,2018-10-12,2018-09-18,1.86
2018-12-31,2019-01-15,2018-12-14,1.86
2019-03-28,2019-04-12,2019-02-21,1.95
2019-06-27,2019-07-12,2019-05-15,1.95
2019-09-27,2019-10-15,2019-09-06,1.95
2019-12-31,2020-01-15,2019-12-16,1.95
2020-03-30,2020-04-15,2020-02-21,2.0775
2020-06-29,2020-07-15,2020-05-14,2.0775
