Ex,Pay,Dec,Div
2015-10-28,2015-12-01,2015-10-08,0.150000000
2016-01-27,2016-03-01,2016-01-12,0.150000000
2016-01-27,2016-03-01,2016-01-12,0.250000000
2016-04-27,2016-06-01,2016-04-08,0.150000000
2016-07-26,2016-09-01,2016-07-14,0.150000000
2016-10-25,2016-12-01,,0.150000000
2017-01-18,2017-03-01,2017-01-10,0.050000000
2017-01-18,2017-03-01,2017-01-10,0.150000000
2017-04-18,2017-06-01,,0.150000000
2017-07-20,2017-09-01,2017-07-13,0.150000000
2017-10-20,2017-12-01,2017-10-12,0.150000000
2018-01-29,2018-03-01,2018-01-16,0.15
2018-01-29,2018-03-01,2018-01-16,0.13
2018-04-19,2018-06-01,2018-04-10,0.15
2018-07-20,2018-09-04,2018-07-12,0.15
2018-10-22,2018-12-03,2018-10-11,0.15
2019-01-30,2019-03-01,2019-01-16,0.15
2019-04-23,2019-06-03,2019-04-08,0.15
2019-07-22,2019-09-03,2019-07-11,0.15
2019-10-21,2019-12-02,2019-10-10,0.15
2020-01-29,2020-03-02,2020-01-08,0.15
