Ex,Pay,Dec,Div
2015-09-28,2015-10-15,2015-07-21,0.165
2015-12-29,2016-01-21,2015-12-10,0.165
2016-03-29,2016-04-21,2016-02-26,0.165
2016-06-28,2016-07-21,2016-04-26,0.165
2016-09-28,2016-10-20,2016-07-20,0.165
2016-12-28,2017-01-19,2016-12-15,0.165
2017-03-29,2017-04-20,2017-02-28,0.165
2017-06-28,2017-07-20,2017-04-25,0.165
2017-09-28,2017-10-19,2017-07-21,0.165
2017-12-28,2018-01-18,2017-12-12,0.165
2018-03-28,2018-04-19,2018-02-16,0.165
2018-06-28,2018-07-19,2018-04-24,0.165
2018-09-27,2018-10-18,2018-07-19,0.165
2018-12-27,2019-01-17,2018-12-03,0.4
2019-03-28,2019-04-18,2019-02-27,0.4
2019-06-27,2019-07-18,2019-04-30,0.4
2019-09-27,2019-10-17,2019-07-19,0.4
2020-03-30,2020-04-16,2020-02-28,0.44
2020-06-29,2020-07-16,2020-04-28,0.44
