Ex,Pay,Dec,Div
2015-10-07,2015-11-13,2015-08-05,0.69
2016-01-13,2016-02-05,2015-12-02,0.69
2016-04-06,2016-05-06,2016-03-02,0.76
2016-06-29,2016-08-05,2016-06-01,0.76
2016-10-05,2016-11-10,2016-08-03,0.76
2017-01-18,2017-02-10,2016-12-07,0.76
2017-04-05,2017-05-05,2017-03-01,0.84
2017-07-05,2017-08-11,2017-06-07,0.84
2017-10-05,2017-11-10,2017-08-02,0.84
2018-01-18,2018-02-09,2017-12-06,0.84
2018-04-12,2018-05-11,2018-03-07,0.93
2018-07-05,2018-08-10,2018-06-06,0.93
2018-10-04,2018-11-09,2018-08-01,0.93
2019-01-17,2019-02-08,2018-12-05,0.93
2019-04-11,2019-05-10,2019-03-06,1.02
2019-07-03,2019-08-09,2019-06-05,1.02
2019-10-10,2019-11-15,2019-08-07,1.02
2020-01-16,2020-02-07,2019-12-04,1.02
2020-04-08,2020-05-08,2020-03-04,1.1
2020-07-01,2020-08-07,2020-06-03,1.1
