Ex,Pay,Dec,Div
2015-09-17,2015-10-26,2015-09-11,0.23
2015-12-17,2016-01-25,2015-12-11,0.23
2016-02-25,2016-04-25,2016-02-12,0.23
2016-06-16,2016-07-25,2016-06-10,0.23
2016-09-15,2016-10-25,2016-09-09,0.23
2016-12-22,2017-01-25,2016-12-09,0.24
2017-02-23,2017-04-25,2017-02-10,0.24
2017-06-15,2017-07-25,2017-06-09,0.24
2017-09-15,2017-10-25,2017-09-07,0.24
2017-12-26,2018-01-25,2017-12-08,0.12
2018-02-23,2018-04-25,2018-02-09,0.12
2018-06-15,2018-07-25,2018-06-08,0.12
2018-09-14,2018-10-25,2018-09-07,0.12
2018-12-19,2019-01-25,2018-12-07,0.01
2019-03-08,2019-04-25,2019-02-15,0.01
2019-06-28,2019-07-25,2019-06-21,0.01
2019-09-13,2019-10-25,2019-09-06,0.01
2019-12-20,2020-01-27,2019-12-06,0.01
2020-03-06,2020-04-27,2020-02-14,0.01
2020-06-26,2020-07-27,2020-06-19,0.01
