Ex,Pay,Dec,Div
2015-09-14,2015-09-29,2015-07-23,0.430000000
2015-12-14,2015-12-30,2015-10-26,0.430000000
2016-03-14,2016-03-30,2016-02-02,0.430000000
2016-06-14,2016-06-29,2016-04-27,0.470000000
2016-09-14,2016-09-29,2016-07-22,0.470000000
2016-12-13,2016-12-29,2016-11-01,0.470000000
2017-03-14,2017-03-30,2017-02-06,0.520000000
2017-06-14,2017-06-29,2017-05-02,0.520000000
2017-09-14,2017-09-28,2017-07-25,0.520000000
2017-12-14,2017-12-28,2017-10-25,0.520000000
2018-03-15,2018-03-29,2018-02-05,0.57
2018-06-14,2018-06-28,2018-04-30,0.57
2018-09-13,2018-09-27,2018-07-24,0.57
2018-12-13,2018-12-28,2018-10-24,0.57
2019-03-14,2019-03-28,2019-02-01,0.63
2019-06-13,2019-06-27,2019-05-01,0.63
2019-09-12,2019-09-27,2019-07-29,0.63
2019-12-12,2019-12-30,2019-10-23,0.63
2020-03-12,2020-03-30,2020-02-03,0.68
2020-06-11,2020-06-29,2020-04-29,0.68
