Ex,Pay,Dec,Div
2015-09-10,2015-09-29,2015-09-02,0.36
2015-12-16,2015-12-29,2015-12-08,0.36
2016-03-09,2016-03-24,2016-02-02,0.38
2016-06-08,2016-06-23,2016-04-20,0.38
2016-09-07,2016-09-23,2016-07-20,0.38
2016-12-05,2016-12-22,2016-10-24,0.38
2017-03-08,2017-03-24,2017-02-06,0.38
2017-06-07,2017-06-23,2017-04-27,0.38
2017-09-07,2017-09-22,2017-07-24,0.38
2017-12-07,2017-12-21,2017-10-23,0.38
2018-03-08,2018-03-23,2018-02-05,0.38
2018-06-07,2018-06-22,2018-04-25,0.38
2018-09-06,2018-09-21,2018-07-24,0.38
2018-12-06,2018-12-20,2018-10-30,0.38
2019-03-07,2019-03-22,2019-02-05,0.38
2019-06-06,2019-06-21,2019-04-29,0.38
2019-09-05,2019-09-20,2019-07-31,0.38
2019-12-05,2019-12-19,2019-10-28,0.38
2020-03-05,2020-03-20,2020-02-03,0.38
