Ex,Pay,Dec,Div
2015-08-12,2015-10-01,2015-07-29,0.576859000
2015-11-10,2016-01-14,2015-10-28,0.549019000
2016-02-17,2016-04-14,2016-02-03,0.570496000
2016-02-17,2016-04-14,2016-02-03,0.656070000
2016-05-11,2016-07-14,2016-04-28,0.500194000
2016-08-10,2016-10-13,2016-07-27,0.466526000
2016-11-02,2017-01-12,,0.462080000
2017-02-22,2017-04-13,2017-02-08,0.571154000
2017-05-10,2017-07-13,2017-04-26,0.490352000
2017-08-09,2017-10-12,,0.501030000
2017-11-09,2018-01-11,,0.514187
2018-02-22,2018-04-12,2018-02-07,0.651684
2018-05-10,2018-07-12,,0.503253
2018-08-09,2018-10-11,2018-07-25,0.495603
2018-11-15,2019-01-10,2018-11-01,0.483846
2019-02-21,2019-04-11,2019-02-07,0.601743
2019-05-16,2019-07-11,,0.473036
2019-08-08,2019-10-10,,0.4658283
2019-11-14,2020-01-09,,0.4998352
2020-02-20,2020-04-09,2020-02-05,0.5669826
2020-05-14,2020-07-09,2020-04-29,0.4739139
