Ex,Pay,Dec,Div
2015-09-01,2015-09-17,2015-08-20,0.590000000
2015-12-01,2015-12-17,2015-11-19,0.590000000
2016-03-08,2016-03-24,2016-02-23,0.690000000
2016-05-31,2016-06-16,2016-05-19,0.690000000
2016-08-30,2016-09-15,2016-08-18,0.690000000
2016-11-29,2016-12-15,2016-11-17,0.690000000
2017-03-07,2017-03-23,2017-02-21,0.890000000
2017-05-30,2017-06-15,2017-05-18,0.890000000
2017-08-29,2017-09-14,2017-08-17,0.890000000
2017-11-29,2017-12-14,2017-11-16,0.890000000
2018-03-07,2018-03-22,2018-02-20,1.03
2018-05-30,2018-06-14,2018-05-17,1.03
2018-08-29,2018-09-13,2018-08-16,1.03
2018-11-28,2018-12-13,2018-11-15,1.03
2019-03-13,2019-03-28,2019-02-26,1.36
2019-06-05,2019-06-20,2019-05-23,1.36
2019-09-04,2019-09-19,2019-08-22,1.36
2019-12-04,2019-12-19,2019-11-21,1.36
2020-03-11,2020-03-26,2020-02-25,1.5
2020-06-03,2020-06-18,2020-05-19,1.5
