Ex,Pay,Dec,Div
2015-08-06,2015-09-10,2015-07-28,1.300000000
2015-11-06,2015-12-10,2015-10-27,1.300000000
2016-02-08,2016-03-10,2016-01-26,1.300000000
2016-05-06,2016-06-10,2016-04-26,1.400000000
2016-08-08,2016-09-10,2016-07-26,1.400000000
2016-11-08,2016-12-10,2016-10-25,1.400000000
2017-02-08,2017-03-10,2017-01-31,1.400000000
2017-05-08,2017-06-10,2017-04-25,1.500000000
2017-08-08,2017-09-09,2017-07-25,1.500000000
2017-11-09,2017-12-09,2017-10-31,1.500000000
2018-02-08,2018-03-10,2018-01-30,1.5
2018-05-09,2018-06-09,2018-04-24,1.57
2018-08-09,2018-09-10,2018-07-31,1.57
2018-11-08,2018-12-10,2018-10-30,1.57
2019-02-07,2019-03-09,2019-01-29,1.57
2019-05-09,2019-06-10,2019-04-30,1.62
2019-08-08,2019-09-10,2019-07-30,1.62
2019-11-07,2019-12-10,2019-10-29,1.62
2020-02-07,2020-03-10,2020-01-28,1.62
2020-05-07,2020-06-10,2020-04-28,1.63
