Ex,Pay,Dec,Div
2015-08-05,2015-09-01,2015-07-22,0.240000000
2015-11-04,2015-12-01,2015-09-10,0.240000000
2016-02-03,2016-03-01,2016-01-21,0.260000000
2016-05-04,2016-06-01,2016-03-16,0.260000000
2016-08-03,2016-09-01,2016-07-12,0.260000000
2016-11-03,2016-12-01,2016-09-12,0.260000000
2017-02-03,2017-03-01,2017-01-20,0.260000000
2017-05-03,2017-06-01,2017-03-23,0.272500000
2017-08-03,2017-09-01,2017-07-20,0.272500000
2017-11-06,2017-12-01,2017-09-13,0.272500000
2018-02-06,2018-03-01,2018-01-25,0.3
2018-05-04,2018-06-01,2018-03-14,0.3
2018-08-06,2018-09-01,2018-07-18,0.3
2018-11-06,2018-12-01,2018-09-13,0.3
2019-02-06,2019-03-01,2019-01-24,0.315
2019-05-06,2019-06-01,2019-03-14,0.315
2019-08-06,2019-09-01,2019-07-17,0.315
2019-11-06,2019-12-01,2019-09-12,0.315
2020-02-06,2020-03-01,2020-01-23,0.33
2020-05-06,2020-06-01,2020-03-11,0.33
