Ex,Pay,Dec,Div
2015-08-21,2015-09-08,,0.750000000
2015-11-20,2015-12-08,2015-10-22,0.750000000
2016-02-19,2016-03-08,2016-01-04,0.750000000
2016-05-20,2016-06-07,2016-04-28,0.800000000
2016-08-19,2016-09-06,2016-07-18,0.800000000
2016-11-18,2016-12-06,2016-10-20,0.800000000
2017-02-24,2017-03-14,2017-01-03,0.800000000
2017-05-25,2017-06-13,2017-04-27,0.840000000
2017-08-25,2017-09-12,2017-07-17,0.840000000
2017-11-27,2017-12-12,2017-10-19,0.840000000
2018-02-26,2018-03-13,2018-01-02,0.84
2018-05-25,2018-06-12,2018-04-26,0.9
2018-08-27,2018-09-11,2018-07-16,0.9
2018-11-26,2018-12-11,2018-10-18,0.9
2019-02-25,2019-03-12,2019-01-02,0.9
2019-05-24,2019-06-11,2019-04-25,0.95
2019-08-26,2019-09-10,2019-07-15,0.95
2019-11-25,2019-12-10,2019-10-17,0.95
2020-02-24,2020-03-10,2020-01-02,0.95
2020-05-22,2020-06-09,2020-04-14,1.01
