Ex,Pay,Dec,Div
2015-10-02,2015-10-31,2015-09-15,0.440000000
2016-01-04,2016-01-31,2015-12-08,0.440000000
2016-04-04,2016-04-30,2016-03-15,0.440000000
2016-07-01,2016-07-31,2016-05-17,0.480000000
2016-10-04,2016-10-31,2016-09-20,0.480000000
2017-01-04,2017-01-31,2016-12-13,0.480000000
2017-04-04,2017-04-30,2017-03-21,0.500000000
2017-07-03,2017-07-31,2017-05-16,0.500000000
2017-10-05,2017-10-31,2017-09-19,0.560000000
2018-01-04,2018-01-31,2017-12-12,0.560000000
2018-04-05,2018-04-30,2018-03-20,0.56
2018-07-05,2018-07-31,2018-05-15,0.56
2018-10-04,2018-10-31,2018-09-18,0.8
2019-01-03,2019-01-31,2018-12-11,0.8
2019-04-04,2019-04-30,2019-03-19,0.8
2019-07-03,2019-07-31,2019-05-21,0.8
2019-10-03,2019-10-31,2019-06-27,0.9
2020-01-03,2020-01-31,2019-12-10,0.9
2020-04-03,2020-04-30,2020-03-17,0.9
2020-07-02,2020-07-31,2020-05-18,0.9
