Ex,Pay,Dec,Div
2015-08-13,2015-09-01,2015-08-06,0.520000000
2015-11-12,2015-12-01,2015-11-04,0.520000000
2016-02-11,2016-03-01,2016-02-04,0.520000000
2016-05-12,2016-06-01,2016-05-05,0.520000000
2016-08-11,2016-09-01,2016-08-04,0.520000000
2016-11-10,2016-12-01,2016-11-03,0.540000000
2017-02-13,2017-03-01,2017-02-02,0.540000000
2017-05-11,2017-06-01,2017-05-04,0.540000000
2017-08-11,2017-09-01,2017-08-03,0.590000000
2017-11-14,2017-12-01,2017-11-01,0.590000000
2018-02-14,2018-03-01,2018-02-01,0.59
2018-05-14,2018-06-01,2018-05-03,0.75
2018-08-14,2018-08-31,2018-08-02,0.75
2018-11-15,2018-12-04,2018-11-07,0.75
2019-02-14,2019-03-01,2019-01-31,0.75
2019-05-14,2019-06-04,2019-05-03,0.75
2019-08-14,2019-09-03,2019-08-01,0.75
2019-11-15,2019-12-03,2019-11-06,0.85
2020-02-20,2020-03-05,2020-02-11,0.85
2020-05-15,2020-06-02,2020-05-07,0.85
