Ex,Pay,Dec,Div
2015-09-11,2015-10-01,2015-07-16,0.330000000
2015-11-27,2015-12-15,2015-10-15,0.330000000
2016-03-11,2016-04-01,2016-02-18,0.350000000
2016-06-13,2016-07-01,2016-04-28,0.350000000
2016-09-13,2016-10-03,2016-07-21,0.350000000
2016-11-29,2016-12-15,2016-10-20,0.350000000
2017-03-13,2017-04-03,2017-02-16,0.370000000
2017-06-13,2017-07-03,2017-04-27,0.370000000
2017-09-14,2017-10-02,2017-07-20,0.370000000
2017-11-30,2017-12-15,2017-10-19,0.370000000
2018-03-14,2018-04-02,2018-02-15,0.39
2018-06-14,2018-07-02,2018-04-26,0.39
2018-09-13,2018-10-01,2018-07-19,0.39
2018-11-29,2018-12-14,2018-10-18,0.39
2019-03-14,2019-04-01,2019-02-21,0.4
2019-06-13,2019-07-01,2019-04-25,0.4
2019-09-13,2019-10-01,2019-07-18,0.4
2019-11-29,2019-12-16,2019-10-17,0.4
2020-03-13,2020-04-01,2020-02-20,0.41
2020-06-12,2020-07-01,2020-04-22,0.41
