Ex,Pay,Dec,Div
2015-08-28,2015-09-25,,1.500000000
2015-11-27,2015-12-24,,1.650000000
2016-02-26,2016-03-24,2016-01-28,1.650000000
2016-05-27,2016-06-24,2016-04-27,1.650000000
2016-08-30,2016-09-23,2016-06-23,1.650000000
2016-11-29,2016-12-30,2016-09-22,1.820000000
2017-02-27,2017-03-24,2017-01-26,1.820000000
2017-05-30,2017-06-23,2017-04-26,1.820000000
2017-08-30,2017-09-22,2017-06-22,1.820000000
2017-11-30,2017-12-29,2017-09-28,2.000000000
2018-02-28,2018-03-23,2018-01-24,2
2018-05-31,2018-06-22,2018-04-25,2
2018-08-31,2018-09-28,2018-06-28,2
2018-11-30,2018-12-28,2018-09-27,2.2
2019-02-28,2019-03-29,2019-01-24,2.2
2019-05-31,2019-06-28,2019-04-24,2.2
2019-08-30,2019-09-27,2019-06-27,2.2
2019-11-29,2019-12-27,2019-09-26,2.4
2020-02-28,2020-03-27,2020-01-24,2.4
2020-05-29,2020-06-26,2020-04-22,2.4
