Ex,Pay,Dec,Div
2015-08-18,2015-09-10,,0.075
2015-12-08,2016-01-07,,0.075
2016-03-01,2016-03-24,,0.075
2016-06-06,2016-06-29,2016-05-18,0.1
2016-08-16,2016-09-08,2016-07-28,0.1
2016-12-06,2017-01-05,2016-11-17,0.1
2017-03-07,2017-03-30,2017-02-02,0.1
2017-06-05,2017-06-28,2017-05-17,0.125
2017-08-22,2017-09-14,2017-08-03,0.125
2017-12-06,2018-01-04,2017-11-16,0.125
2018-03-06,2018-03-28,2018-01-31,0.125
2018-06-05,2018-06-27,2018-05-16,0.16
2018-08-21,2018-09-12,2018-08-01,0.16
2018-12-04,2019-01-02,2018-11-14,0.16
2019-03-05,2019-03-27,2019-01-30,0.16
2019-06-04,2019-06-26,2019-05-15,0.18
2019-08-20,2019-09-11,2019-07-31,0.18
2019-12-10,2020-01-08,2019-11-20,0.18
2020-03-03,2020-03-25,2020-01-29,0.18
