Ex,Pay,Dec,Div
2015-09-18,2015-09-30,,0.65
2015-12-18,2015-12-31,,0.65
2016-03-18,2016-03-31,2016-01-27,0.72
2016-06-20,2016-06-30,2016-04-20,0.72
2016-09-20,2016-09-30,2016-07-25,0.72
2016-12-19,2016-12-30,2016-11-03,0.72
2017-03-21,2017-03-31,2017-01-25,0.73
2017-06-20,2017-06-30,2017-04-26,0.73
2017-09-20,2017-09-29,2017-07-26,0.73
2017-12-20,2017-12-29,2017-10-25,0.73
2018-03-21,2018-03-30,2018-01-23,0.75
2018-06-19,2018-06-28,2018-04-24,0.75
2018-09-18,2018-09-27,2018-07-25,0.75
2018-12-17,2018-12-27,2018-10-24,0.75
2019-03-19,2019-03-28,2019-01-23,0.77
2019-06-18,2019-06-27,2019-04-17,0.77
2019-09-17,2019-09-26,2019-07-24,0.77
2019-12-16,2019-12-26,2019-10-23,0.77
2020-03-17,2020-03-26,2020-01-29,0.79
