Ex,Pay,Dec,Div
2015-10-07,2015-11-09,2015-09-22,0.160000000
2016-01-06,2016-02-09,2015-12-08,0.190000000
2016-04-06,2016-05-09,2016-02-02,0.190000000
2016-07-06,2016-08-09,2016-06-28,0.190000000
2016-10-05,2016-11-09,2016-09-27,0.190000000
2017-01-05,2017-02-09,2016-12-06,0.220000000
2017-04-05,2017-05-09,2017-02-07,0.220000000
2017-07-05,2017-08-09,2017-06-27,0.220000000
2017-10-05,2017-11-09,2017-09-19,0.220000000
2018-01-08,2018-02-09,2017-12-04,0.250000000
2018-04-06,2018-05-09,2018-02-05,0.25
2018-07-06,2018-08-09,2018-06-25,0.25
2018-10-05,2018-11-09,2018-09-17,0.25
2019-01-08,2019-02-08,2018-12-04,0.33
2019-04-08,2019-05-09,2019-02-05,0.33
2019-07-08,2019-08-09,2019-06-25,0.33
2019-10-08,2019-11-08,2019-09-17,0.33
2020-01-08,2020-02-07,2019-12-03,0.4
2020-04-08,2020-05-08,2020-02-04,0.4
2020-07-08,2020-08-07,2020-06-16,0.4
