Ex,Pay,Dec,Div
2015-08-28,2015-09-16,2015-07-16,0.85
2015-11-27,2015-12-15,2015-11-10,0.89
2016-02-26,2016-03-15,2016-01-27,0.89
2016-06-02,2016-06-20,2016-05-26,0.89
2016-08-30,2016-09-16,2016-07-28,0.89
2016-11-29,2016-12-15,2016-09-28,0.94
2017-02-27,2017-03-15,2017-01-26,0.94
2017-06-01,2017-06-19,2017-05-24,0.94
2017-08-30,2017-09-18,2017-07-27,0.94
2017-11-30,2017-12-15,2017-09-21,1.01
2018-02-28,2018-03-15,2018-01-25,1.01
2018-06-01,2018-06-18,2018-05-24,1.01
2018-08-31,2018-09-18,2018-07-19,1.01
2018-11-30,2018-12-17,2018-09-20,1.16
2019-02-28,2019-03-15,2019-01-24,1.16
2019-05-31,2019-06-17,2019-05-23,1.16
2019-08-30,2019-09-17,2019-07-18,1.16
2019-11-29,2019-12-16,2019-09-19,1.25
2020-02-28,2020-03-16,2020-01-29,1.25
2020-05-29,2020-06-15,2020-05-22,1.25
