Ex,Pay,Dec,Div
2015-09-09,2015-09-25,2015-08-03,0.358
2015-11-18,2015-12-04,2015-11-04,0.3585
2016-02-18,2016-03-07,2016-02-03,0.359
2016-05-19,2016-06-06,2016-05-04,0.3595
2016-08-18,2016-09-06,2016-08-08,0.36
2016-11-17,2016-12-05,2016-11-07,0.3605
2017-02-16,2017-03-07,2017-02-07,0.361
2017-05-19,2017-06-06,2017-05-09,0.3615
2017-08-17,2017-09-05,2017-08-03,0.362
2017-11-20,2017-12-05,2017-11-06,0.3625
2018-02-20,2018-03-06,2018-02-06,0.363
2018-05-18,2018-06-04,2018-05-08,0.3635
2018-08-20,2018-09-04,2018-08-09,0.364
2018-11-20,2018-12-05,2018-11-07,0.3645
2019-02-20,2019-03-07,2019-02-05,0.365
2019-05-20,2019-06-04,2019-05-07,0.3655
2019-08-20,2019-09-04,2019-08-06,0.366
2019-11-20,2019-12-05,2019-11-05,0.3665
2020-02-20,2020-03-06,2020-02-04,0.36700000000000005
2020-05-20,2020-06-04,2020-05-07,0.3675
