Ex,Pay,Dec,Div
2015-09-28,2015-10-14,2015-07-23,0.170000000
2015-12-29,2016-01-14,2015-12-08,0.170000000
2016-03-29,2016-04-14,2016-02-08,0.170000000
2016-06-28,2016-07-14,2016-05-18,0.170000000
2016-09-28,2016-10-13,2016-07-19,0.190000000
2016-12-28,2017-01-12,2016-12-13,0.190000000
2017-03-29,2017-04-13,2017-02-03,0.190000000
2017-06-28,2017-07-13,2017-05-17,0.190000000
2017-09-28,2017-10-12,2017-07-27,0.220000000
2017-12-28,2018-01-11,2017-12-12,0.220000000
2018-03-28,2018-04-12,2018-02-08,0.22
2018-06-28,2018-07-13,2018-05-16,0.22
2018-09-27,2018-10-12,2018-07-25,0.26
2018-12-28,2019-01-14,2018-12-06,0.26
2019-03-28,2019-04-12,2019-02-07,0.26
2019-06-27,2019-07-12,2019-05-15,0.26
2019-09-27,2019-10-14,2019-07-30,0.285
2019-12-30,2020-01-14,2019-12-05,0.285
2020-03-30,2020-04-14,2020-02-06,0.285
2020-06-29,2020-07-14,2020-05-13,0.285
