Ex,Pay,Dec,Div
2015-08-20,2015-08-31,2015-08-04,
2016-08-18,2016-08-30,2016-08-04,
2017-03-08,2017-03-15,2017-02-16,0.110000000
2017-06-07,2017-06-15,2017-04-27,0.110000000
2017-09-08,2017-09-15,2017-07-26,0.110000000
2017-12-08,2017-12-15,2017-11-07,0.110000000
2018-03-08,2018-03-15,2018-02-19,0.12
2018-06-07,2018-06-15,2018-04-25,0.12
2018-09-07,2018-09-14,2018-08-02,0.12
2018-12-07,2018-12-14,2018-10-30,0.12
2019-03-07,2019-03-15,2019-02-13,0.13
2019-06-07,2019-06-14,2019-04-29,0.13
2019-09-09,2019-09-16,2019-07-25,0.13
2019-12-09,2019-12-16,2019-10-30,0.13
2020-03-09,2020-03-16,2020-02-12,0.15
2020-06-09,2020-06-15,2020-04-30,0.0025
