Ex,Pay,Dec,Div
2015-08-19,2015-09-12,2015-08-10,1.025000000
2015-11-18,2015-12-12,2015-11-10,1.025000000
2016-02-10,2016-03-12,2016-02-02,1.110000000
2016-05-18,2016-06-12,2016-05-10,1.110000000
2016-08-17,2016-09-12,2016-08-09,1.110000000
2016-11-16,2016-12-12,2016-11-08,1.110000000
2017-02-15,2017-03-12,2017-02-07,1.175000000
2017-05-17,2017-06-12,2017-05-09,1.175000000
2017-08-23,2017-09-12,2017-08-15,1.175000000
2017-11-22,2017-12-12,2017-11-14,1.175000000
2018-02-15,2018-03-12,2018-01-25,1.36
2018-05-17,2018-06-12,2018-05-08,1.36
2018-08-23,2018-09-12,2018-08-14,1.36
2018-11-21,2018-12-12,2018-11-13,1.36
2019-02-14,2019-03-12,2019-02-05,1.44
2019-05-23,2019-06-12,2019-05-14,1.44
2019-08-15,2019-09-12,2019-08-06,1.44
2019-11-21,2019-12-12,2019-11-12,1.44
2020-02-13,2020-03-12,2020-02-04,1.47
2020-05-21,2020-06-12,2020-05-12,1.47
