Ex,Pay,Dec,Div
2015-08-13,2015-09-15,2015-07-01,0.15
2015-11-12,2015-12-15,2015-10-01,0.16
2016-02-11,2016-03-15,2016-01-19,0.16
2016-05-12,2016-06-15,2016-04-05,0.16
2016-08-11,2016-09-15,2016-07-01,0.16
2016-11-10,2016-12-15,2016-10-03,0.16
2017-02-13,2017-03-15,2017-01-18,0.16
2017-05-11,2017-06-15,2017-04-04,0.16
2017-08-11,2017-09-15,2017-07-03,0.16
2017-11-14,2017-12-15,2017-10-02,0.17
2018-02-14,2018-03-15,2018-01-16,0.17
2018-05-14,2018-06-15,2018-04-02,0.17
2018-08-14,2018-09-17,2018-07-02,0.17
2018-11-14,2018-12-17,2018-10-01,0.17
2019-02-14,2019-03-15,2019-01-16,0.17
2019-05-14,2019-06-17,2019-04-02,0.17
2019-08-14,2019-09-16,2019-07-01,0.17
2019-11-14,2019-12-16,2019-10-01,0.17
2020-02-14,2020-03-16,2020-01-17,0.17
2020-05-14,2020-06-15,2020-04-01,0.17
