Date,Dividends
2011-08-15,0.2
2011-11-14,0.25
2012-02-14,0.25
2012-05-14,0.25
2012-08-14,0.35
2012-11-19,0.35
2013-02-15,0.35
2013-05-14,0.35
2013-08-19,0.42
2013-11-18,0.42
2014-02-14,0.42
2014-05-19,0.42
2014-08-18,0.5
2014-11-17,0.5
2015-02-13,0.5
2015-05-18,0.5
2015-06-11,0.0
2015-08-17,0.32
2015-11-16,0.32
2016-02-12,0.32
2016-05-16,0.32
2016-08-15,0.36
2016-11-14,0.36
2017-02-14,0.36
2017-05-15,0.36
2017-08-14,0.4
2017-11-15,0.4
2018-02-20,0.46
2018-05-15,0.46
2018-08-15,0.46
2018-11-20,0.46
2019-02-19,0.53
2019-05-15,0.53
2019-08-20,0.53
2019-11-19,0.53
2020-02-18,0.58
2020-05-19,0.58
