Ex,Pay,Dec,Div
2015-09-11,2015-10-07,2015-07-22,0.45
2015-12-11,2016-01-08,2015-11-24,0.46
2016-03-11,2016-04-07,2016-02-23,0.46
2016-06-13,2016-07-08,2016-05-24,0.46
2016-09-13,2016-10-07,2016-07-26,0.46
2016-12-13,2017-01-09,2016-11-22,0.47
2017-03-13,2017-04-07,2017-02-28,0.47
2017-06-13,2017-07-10,2017-05-23,0.47
2017-09-14,2017-10-06,2017-07-25,0.47
2017-12-14,2018-01-08,2017-11-28,0.48
2018-03-14,2018-04-06,2018-01-23,0.48
2018-06-14,2018-07-09,2018-05-22,0.48
2018-09-14,2018-10-05,2018-07-24,0.48
2018-12-14,2019-01-08,2018-10-25,0.55
2019-03-14,2019-04-05,2019-01-29,0.55
2019-06-14,2019-07-08,2019-05-28,0.55
2019-09-13,2019-10-07,2019-07-23,0.55
2019-12-13,2020-01-08,2019-11-19,0.61
2020-03-13,2020-04-07,2020-01-28,0.61
2020-06-12,2020-07-07,2020-05-26,0.61
