Ex,Pay,Dec,Div
2015-08-17,2015-09-10,2015-07-29,0.21
2015-11-16,2015-12-10,2015-10-29,0.05
2016-02-12,2016-03-10,2016-01-27,0.05
2016-05-16,2016-06-10,2016-04-27,0.05
2016-08-15,2016-09-12,2016-07-27,0.05
2016-11-14,2016-12-12,2016-10-26,0.05
2017-02-13,2017-03-10,2017-01-25,0.05
2017-05-15,2017-06-12,2017-04-26,0.05
2017-08-14,2017-09-11,2017-07-26,0.05
2017-11-14,2017-12-11,2017-10-25,0.05
2018-02-20,2018-03-12,2018-01-30,0.05
2018-05-15,2018-06-11,2018-04-26,0.05
2018-08-14,2018-09-10,2018-07-25,0.05
2018-11-20,2018-12-10,2018-10-30,0.05
2019-02-19,2019-03-11,2019-01-30,0.05
2019-05-14,2019-06-10,2019-04-24,0.05
2019-08-20,2019-09-10,2019-07-31,0.05
2019-11-19,2019-12-10,2019-10-30,0.05
2020-02-18,2020-03-10,2020-01-29,0.05
