Ex,Pay,Dec,Div
2015-08-18,2015-09-10,2015-06-09,0.31
2015-11-17,2015-12-10,2015-09-15,0.36
2016-02-16,2016-03-10,2015-12-02,0.36
2016-05-17,2016-06-09,2016-03-15,0.36
2016-08-16,2016-09-08,2016-06-14,0.36
2016-11-15,2016-12-08,2016-09-20,0.39
2017-02-14,2017-03-09,2016-11-30,0.39
2017-05-16,2017-06-08,2017-03-14,0.39
2017-08-15,2017-09-14,2017-06-13,0.39
2017-11-15,2017-12-14,2017-09-19,0.42
2018-02-14,2018-03-08,2017-11-29,0.42
2018-05-16,2018-06-14,2018-03-12,0.42
2018-08-15,2018-09-13,2018-06-13,0.42
2018-11-14,2018-12-13,2018-09-18,0.46
2019-02-20,2019-03-14,2018-11-28,0.46
2019-05-15,2019-06-13,2019-03-11,0.46
2019-08-14,2019-09-12,2019-06-12,0.46
2019-11-20,2019-12-12,2019-09-18,0.51
2020-02-19,2020-03-12,2019-12-04,0.51
2020-05-20,2020-06-11,2020-03-09,0.51
