Ex,Pay,Dec,Div
2015-09-11,2015-10-15,2015-08-18,0.340000000
2015-12-11,2016-01-15,2015-11-17,0.410000000
2016-03-11,2016-04-15,2016-02-18,0.410000000
2016-06-13,2016-07-15,2016-05-17,0.410000000
2016-09-13,2016-10-14,2016-08-18,0.410000000
2016-12-13,2017-01-13,2016-11-03,0.470000000
2017-03-13,2017-04-14,2017-02-16,0.470000000
2017-06-13,2017-07-14,2017-05-16,0.470000000
2017-09-14,2017-10-13,2017-08-22,0.470000000
2017-12-14,2018-01-12,2017-11-02,0.520000000
2018-03-14,2018-04-13,2018-02-15,0.52
2018-06-14,2018-07-13,2018-05-15,0.52
2018-09-13,2018-10-15,2018-08-28,0.52
2018-12-13,2019-01-15,2018-11-15,0.57
2019-03-14,2019-04-15,2019-02-14,0.57
2019-06-13,2019-07-15,2019-05-13,0.57
2019-09-12,2019-10-15,2019-08-29,0.57
2019-12-12,2020-01-15,2019-11-14,0.64
2020-03-12,2020-04-15,2020-02-13,0.64
2020-06-12,2020-07-15,2020-05-11,0.64
