Ex,Pay,Dec,Div
2015-09-09,2015-09-25,2015-07-21,0.250000000
2015-12-10,2015-12-28,2015-10-20,0.250000000
2016-03-10,2016-03-28,2016-01-27,0.250000000
2016-06-08,2016-06-24,2016-03-29,0.320000000
2016-09-14,2016-09-30,2016-07-26,0.320000000
2016-12-14,2016-12-30,2016-10-25,0.320000000
2017-03-15,2017-03-31,2017-01-30,0.320000000
2017-06-14,2017-06-30,2017-04-25,0.380000000
2017-09-14,2017-09-29,2017-07-25,0.380000000
2017-12-14,2017-12-29,2017-10-24,0.380000000
2018-03-15,2018-03-30,2018-01-30,0.38
2018-06-14,2018-06-29,2018-03-26,0.44
2018-09-13,2018-09-28,2018-07-24,0.44
2018-12-13,2018-12-28,2018-10-23,0.44
2019-03-14,2019-03-29,2019-01-29,0.44
2019-06-13,2019-06-28,2019-04-23,0.47
2019-09-12,2019-09-27,2019-07-23,0.47
2019-12-12,2019-12-27,2019-10-22,0.47
2020-03-12,2020-03-27,2020-01-28,0.47
2020-06-11,2020-06-26,2020-04-21,0.49
