Ex,Pay,Dec,Div
2015-08-26,2015-09-15,2015-07-31,0.770000000
2015-11-24,2015-12-15,2015-10-16,0.770000000
2016-02-24,2016-03-15,2016-02-12,0.870000000
2016-05-26,2016-06-15,2016-05-19,0.870000000
2016-08-26,2016-09-15,2016-07-29,0.870000000
2016-11-22,2016-12-15,2016-10-14,0.870000000
2017-02-24,2017-03-15,2017-02-17,0.982500000
2017-05-25,2017-06-15,2017-05-18,0.982500000
2017-08-23,2017-09-15,2017-07-27,0.982500000
2017-11-22,2017-12-15,2017-10-13,0.982500000
2018-02-26,2018-03-15,2018-02-16,1.11
2018-06-04,2018-06-15,2018-05-24,1.11
2018-08-29,2018-09-17,2018-07-26,1.11
2018-11-29,2018-12-17,2018-10-12,1.11
2019-02-27,2019-03-15,2019-02-15,1.25
2019-05-31,2019-06-17,2019-05-23,1.25
2019-08-28,2019-09-16,2019-07-25,1.25
2019-11-27,2019-12-16,2019-10-18,1.25
2020-02-27,2020-03-16,2020-02-14,1.4
2020-06-01,2020-06-15,2020-05-21,1.4
