Ex,Pay,Dec,Div
2015-08-07,2015-08-14,2015-08-03,0.235000000
2015-11-03,2015-11-13,2015-10-28,0.270000000
2016-02-03,2016-02-12,2016-01-27,0.307500000
2016-05-04,2016-05-13,2016-04-28,0.318750000
2016-08-02,2016-08-12,2016-07-26,0.330000000
2016-11-04,2016-11-14,2016-10-31,0.341250000
2017-02-03,2017-02-14,2017-01-27,0.352500000
2017-05-04,2017-05-15,2017-04-20,0.365000000
2017-08-03,2017-08-14,2017-07-25,0.380000000
2017-11-03,2017-11-14,2017-10-25,0.392500000
2018-02-02,2018-02-14,2018-01-25,0.405
2018-05-04,2018-05-15,2018-04-23,0.42
2018-08-03,2018-08-14,2018-07-25,0.4375
2018-11-05,2018-11-14,2018-10-22,0.45
2019-02-05,2019-02-14,2019-01-24,0.465
2019-05-06,2019-05-15,2019-04-22,0.4825
2019-08-05,2019-08-14,2019-07-23,0.5025
2019-11-05,2019-11-14,2019-10-21,0.5175
2020-02-05,2020-02-14,2020-01-23,0.535
2020-05-06,2020-05-15,2020-04-21,0.555
